site,latitude,longitude
SACH,50.32729215645983,-4.77298612930206
BODMIN,50.467420280266786,-4.7412237650003535
RCHT,50.26640152373191,-5.092207415812754
CRCH,50.22914371360294,-5.245263546502739
WCH,50.121857527967094,-5.5427316599991086
